model,region,code,family,genus,species,parameter,estimate,na_genus
DBH,"CA-ON, CA-QC",FRAX.AME,Oleaceae,Fraxinus,americana,bbranches2,2.2291,FALSE
DBH,"CA-ON, CA-QC",FRAX.AME,Oleaceae,Fraxinus,americana,bfoliage1,0.1106,FALSE
DBH,"CA-ON, CA-QC",FRAX.AME,Oleaceae,Fraxinus,americana,bfoliage2,1.2277,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bwood1,0.1861,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bwood2,2.1665,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bbark1,0.0406,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bbark2,1.9946,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bbranches1,0.0461,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bbranches2,2.2291,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bfoliage1,0.1106,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papifera,bfoliage2,1.2277,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bwood1,0.0402,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bwood2,2.5804,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bbark1,0.0073,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bbark2,2.4859,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bbranches1,0.0401,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bbranches2,2.1826,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bfoliage1,0.075,FALSE
DBH,CA-ON,ULMU.AME,Ulmaceae,Ulmus,americana,bfoliage2,1.3436,FALSE
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bwood1,0.0762,FALSE
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bwood2,2.3335,FALSE
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bbark1,0.0338,FALSE
