model,region,code,family,genus,species,parameter,estimate,na_genus
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papyrifera,bfoliage1,0.0591,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papyrifera,bfoliage2,1.6036,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bwood1,0.0334,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bwood2,2.598,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbark1,0.0114,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbark2,2.3057,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbranches1,0.0302,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbranches2,2.0927,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bfoliage1,0.1515,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bfoliage2,1.5012,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bwood1,0.0204,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bwood2,2.6974,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bbark1,0.0069,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bbark2,2.5462,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bbranches1,0.0404,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bbranches2,2.1388,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bfoliage1,0.1233,FALSE
DBH,CA-BC,PSEU.MEN,Pinaceae,Pseudotsuga,menziesii,bfoliage2,1.6636,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bwood1,0.0223,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bwood2,2.7169,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bbark1,0.0118,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bbark2,2.2733,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bbranches1,0.0336,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bbranches2,2.2123,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bfoliage1,0.0683,FALSE
DBH,CA-BC,PICE.ENG,Pinaceae,Picea,engelmannii,bfoliage2,1.8022,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bwood1,0.0424,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bwood2,2.4289,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bbark1,0.0057,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bbark2,2.4786,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bbranches1,0.0322,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bbranches2,2.1313,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bfoliage1,0.0645,FALSE
DBH,CA-BC,ABIE.AMA,Pinaceae,Abies,amabilis,bfoliage2,1.94,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bwood1,0.046,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bwood2,2.4312,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bbark1,0.0074,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bbark2,2.4442,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bbranches1,0.0086,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bbranches2,2.7326,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bfoliage1,0.0114,FALSE
DBH,CA-BC,POPU.TRI,Salicaceae,Populus,trichocarpa,bfoliage2,2.086,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bwood1,0.046,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bwood2,2.4312,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bbark1,0.0074,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bbark2,2.4442,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bbranches1,0.0086,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bbranches2,2.7326,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bfoliage1,0.0114,FALSE
DBH,CA-BC,ALNU.RUB,Betulaceae,Alnus,rubra,bfoliage2,2.086,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bwood1,0.0302,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bwood2,2.5776,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bbark1,0.0066,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bbark2,2.4433,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bbranches1,0.0739,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bbranches2,1.8342,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bfoliage1,0.0157,FALSE
DBH,CA-BC,PICE.SIT,Pinaceae,Picea,sitchensis,bfoliage2,2.3113,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bwood1,0.0141,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bwood2,2.8668,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bbark1,0.0025,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bbark2,2.8062,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bbranches1,0.0703,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bbranches2,1.9547,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bfoliage1,0.1676,FALSE
DBH,CA-BC,TSUG.HET,Pinaceae,Tsuga,heterophylla,bfoliage2,1.4339,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bwood1,0.0111,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bwood2,2.8027,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bbark1,3.00E-04,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bbark2,3.2721,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bbranches1,0.1158,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bbranches2,1.7196,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bfoliage1,0.1233,FALSE
DBH,CA-BC,THUJ.PLI,Cupressaceae,Thuja,plicata,bfoliage2,1.5152,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bwood1,0.0864,TRUE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bwood2,2.3715,TRUE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bbark1,0.0226,TRUE
