family,genus,species,taxa_id,equation,component,beta_0,beta_1,beta_2,beta_3,cf
Betulaceae,Alnus,incana,4,12,total branch,4.96E-22,2.8886,-0.0721,0.7432,0.945183595
Betulaceae,Alnus,glutinosa,4,16,total branch,5.14E-12,2.892,0.2563,0.0277,0.943442756
Betulaceae,Alnus,incana,4,16,total branch,5.14E-12,2.892,0.2563,0.0277,0.943442756
Betulaceae,Alnus,incana,5,3,aboveground,0.07987439,2.4667,,,0.999917677
Betulaceae,Alnus,incana,5,4,aboveground,0.056174071,2.4139,0.0134,,0.988296289
Betulaceae,Alnus,incana,5,9,aboveground,0.070955667,2.4667,0.0232,,0.999927539
Betulaceae,Alnus,incana,5,3,stem + branch mass,0.085888958,2.4739,,,1.000539069
Betulaceae,Alnus,incana,5,4,stem + branch mass,0.210325279,2.3981,-0.0305,,0.990100485
Betulaceae,Alnus,incana,5,5,stem + branch mass,0.229328455,2.4745,-0.3688,,1.00077622
Betulaceae,Alnus,incana,5,7,stem + branch mass,1790.410138,2.4733,-0.1661,,1.00048598
Betulaceae,Alnus,incana,5,20,stem + branch mass,4.787460003,2.4773,-0.3056,-0.5019,1.001168991
Betulaceae,Alnus,incana,5,3,stem mass,0.060422121,2.5021,,,1.003294175
Betulaceae,Alnus,incana,5,4,stem mass,0.117079744,2.3908,-0.0161,,0.99173423
Betulaceae,Alnus,incana,5,5,stem mass,0.124892739,2.508,-0.2518,,1.004447116
Betulaceae,Alnus,incana,5,6,stem mass,0.054715951,2.3908,0.0297,,0.99173423
Betulaceae,Alnus,incana,5,3,total branch,0.011054696,2.3987,,,0.983574865
Betulaceae,Betula,pendula,6,3,aboveground,0.135159462,2.3683,,,1.035101145
Betulaceae,Betula,pendula,6,5,aboveground,0.0758119,2.3675,0.2499,,1.034539688
Betulaceae,Betula,pendula,6,6,aboveground,0.012158825,2.3078,0.258,,0.994926017
Betulaceae,Betula,pendula,6,3,foliage mass,0.023837388,1.5836,,,1.11127585
Betulaceae,Betula,pendula,6,3,leaf area,0.297422974,1.5839,,,1.124238816
Betulaceae,Betula,pendula,6,3,stem + branch mass,0.11164847,2.3965,,,0.990291376
Betulaceae,Betula,pendula,6,7,stem + branch mass,0.023015209,2.3999,0.0287,,0.993899658
Betulaceae,Betula,pendula,6,3,stem mass,0.090554808,2.3746,,,0.964956908
Betulaceae,Betula,pendula,6,7,stem mass,0.005999975,2.3799,0.0495,,0.968976687
Betulaceae,Betula,pendula,6,3,total branch,0.020973407,2.4053,,,1.037185282
Betulaceae,Betula,pendula,6,6,total branch,0.064673742,2.545,-0.1771,,0.993247505
Betulaceae,Betula,pendula,6,10,total branch,0.006449195,2.5452,-0.0725,0.6955,0.994644095
Betulaceae,Betula,pendula,6,20,total branch,0.00116155,2.4034,0.7342,0.1346,1.035952935
Betulaceae,Betula,pendula,7,3,dead branch,0.006244838,2.1355,,,1.103840173
Betulaceae,Betula,pubescens,7,3,dead branch,0.006244838,2.1355,,,1.103840173
Betulaceae,Betula,pendula,7,5,dead branch,0.000224104,2.1405,1.0769,,1.10200128
Betulaceae,Betula,pubescens,7,5,dead branch,0.000224104,2.1405,1.0769,,1.10200128
Betulaceae,Betula,pendula,7,6,dead branch,0.000224104,2.1405,1.0769,,0.043329303
Betulaceae,Betula,pubescens,7,6,dead branch,0.000224104,2.1405,1.0769,,0.043329303
Betulaceae,Betula,pendula,7,3,foliage mass,0.015970692,1.8861,,,1.163205583
Betulaceae,Betula,pubescens,7,3,foliage mass,0.015970692,1.8861,,,1.163205583
Betulaceae,Betula,pendula,7,3,leaf area,0.208816375,1.8857,,,1.169225199
Betulaceae,Betula,pubescens,7,3,leaf area,0.208816375,1.8857,,,1.169225199
Betulaceae,Betula,pendula,7,3,live branch,0.035101901,1.7765,,,1.595110608
Betulaceae,Betula,pubescens,7,3,live branch,0.035101901,1.7765,,,1.595110608
Betulaceae,Betula,pendula,7,5,live branch,7.76E-07,1.7604,3.0326,,1.6776225
Betulaceae,Betula,pubescens,7,5,live branch,7.76E-07,1.7604,3.0326,,1.6776225
Betulaceae,Betula,pendula,7,6,live branch,7.76E-07,1.7604,3.0326,,0.012062423
Betulaceae,Betula,pubescens,7,6,live branch,7.76E-07,1.7604,3.0326,,0.012062423
Betulaceae,Betula,pendula,7,3,root mass,0.17278625,1.8764,,,1.043582428
Betulaceae,Betula,pubescens,7,3,root mass,0.17278625,1.8764,,,1.043582428
Betulaceae,Betula,pendula,7,5,root mass,0.036717566,2.2239,0.272,,0.878352651
Betulaceae,Betula,pubescens,7,5,root mass,0.036717566,2.2239,0.272,,0.878352651
Betulaceae,Betula,pendula,7,6,root mass,0.036717566,2.2239,0.272,,0.01936253
Betulaceae,Betula,pubescens,7,6,root mass,0.036717566,2.2239,0.272,,0.01936253
Betulaceae,Betula,pendula,7,3,stem + branch mass,0.109503365,2.3771,,,1.007988965
Betulaceae,Betula,pubescens,7,3,stem + branch mass,0.109503365,2.3771,,,1.007988965
Betulaceae,Betula,pendula,7,4,stem + branch mass,0.073160472,2.4076,0.0263,,0.964734787
Betulaceae,Betula,pubescens,7,4,stem + branch mass,0.073160472,2.4076,0.0263,,0.964734787
Betulaceae,Betula,pendula,7,3,stem mass,0.097861702,2.338,,,0.968924127
Betulaceae,Betula,pubescens,7,3,stem mass,0.097861702,2.338,,,0.968924127
Betulaceae,Betula,pendula,7,4,stem mass,0.055570655,2.3591,0.0373,,0.948923863
Betulaceae,Betula,pubescens,7,4,stem mass,0.055570655,2.3591,0.0373,,0.948923863
Betulaceae,Betula,pendula,7,12,stem mass,0.016197474,2.3631,0.0257,0.0254,0.947950898
Betulaceae,Betula,pubescens,7,12,stem mass,0.016197474,2.3631,0.0257,0.0254,0.947950898
Betulaceae,Betula,pendula,7,3,total branch,0.02194535,2.3314,,,1.14807047
Betulaceae,Betula,pubescens,7,3,total branch,0.02194535,2.3314,,,1.14807047
Betulaceae,Betula,pendula,7,4,total branch,0.027323722,2.5544,-0.0414,,1.044706415
Betulaceae,Betula,pubescens,7,4,total branch,0.027323722,2.5544,-0.0414,,1.044706415
Betulaceae,Betula,pendula,7,6,total branch,0.103054222,2.339,-0.1927,,1.149068107
